; Rank;Company;Country;Sales;Assets;Market Value;Sector;Industry;Snippet
10;11;AT&T;United States;163.8;403.8;249.3;Telecommunication Services;Telecommunications services;02.10.2014 · Top 20 Website-Betreiber Juni 2014 Deutschland. ComScore misst die Besucheraktivitäten auf Websites. Für Deutschland wurde eine Übersicht der 20 häufigst besuchten Website-Betreiber veröffentlicht. In diesen TOP 20 sind auch Suchmaschinen und Portale enthalten, die als Anlaufpunkt für die Suche im Internet dienen.
11;12;Citigroup;United States;84;1795.1;164.3;Financials;Major Banks;CitiFirst® ist das Optionsschein- und Zertifikateportal der Citigroup in Deutschland. Sie finden hier alle Informationen zu Optionsscheinen, Turbos, Mini Futures mit hohen Hebeln sowie zu Discount-Zertifikaten, Bonus-Zertifikaten, Capped Bonus-Zertifikaten, Reverse Bonus-Zertifikaten, Kapitalschutz und vieles andere mehr. Anleger und Trader finden ebenfalls Chartanalysen, News, ausführliche ...
12;13;Exxon Mobil;United States;197.5;330.3;343.2;Energy;;https://corporate.exxonmobil.deExxonMobil und Porsche haben eine neue Vereinbarung zu Entwicklung und Einsatz von erneuerbaren Kraftstoffen im Porsche Mobil 1 Supercup getroffen. Im Rahmen des Marken-Pokals fahren alle neuen 911 GT3 Cup-Rennwagen ab der Saison 2021 zunächst mit einem von ExxonMobil zusammengestellten, hauptsächlich biobasierten Esso Renewable Racing Fuel. Mehr erfahren. Neu erschienen: Energy & …
13;14;General Electric;United States;119.7;365.2;261.2;Industrials;Conglomerates;Die US-amerikanische General Electric ist einer der größten Mischkonzerne der Welt. Er geht auf die Firmengründung des Elektro-Pioniers Thomas Edison zurück. Der Stammsitz befindet sich seit 2016 in Boston. Das Unternehmen war über 80 Jahre in …Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie US-amerikanische General Electric ist einer der größten Mischkonzerne der Welt. Er geht auf die Firmengründung des Elektro-Pioniers Thomas Edison zurück. Der Stammsitz befindet sich seit 2016 in Boston. Das Unternehmen war über 80 Jahre in Schenectady im US-Bundesstaat New York und anschließend ab 1974 in Fairfield beheimatet.
14;15;Samsung Electronics;South Korea;174;217.1;254.3;Information Technology;Semiconductors;https://www.samsung.com/deAusgenommen hiervon ist die Aktion Samsung Made for Germany für ausgewählte Samsung QLED Aktions-TVs (Details, Umfang sowie Aktionsgeräte unter samsung.de/madeforgermany). Aktion im Einzelnen, Liste der Aktionsgeräte inkl. aller Zugaben sowie vollständige Teilnahmebedingun- gen unter samsung.de/heimvorteil-angebote. Ausrichter: Samsung Electronics GmbH, Am Kronberger Hang …
15;16;Ping An Insurance Group;China;106.6;801;100.8;Financials;Diversified Insurance;Ping An Insurance ist ein chinesisches Versicherungs- und Finanzdienstleistungsunternehmen mit Sitz in Shenzhen. Die volle Firma des Unternehmens ist Ping An Insurance Company of China, Ltd.
16;17;Wal-Mart Stores;United States;485.3;198.8;221.1;Consumer Discretionary;Discount Stores;www.walmart.deHier sollte eine Beschreibung angezeigt werden, diese Seite lässt dies jedoch nicht zu.Weitere Informationen
17;18;Verizon Communications;United States;126;244.2;198.4;Telecommunication Services;Telecommunications services;Die Verizon Communications Inc., oder kurz Verizon, ist ein US-amerikanischer Telekommunikationskonzern mit Hauptsitz in New York City. Die deutsche Niederlassung Verizon Deutschland GmbH hat ihren Sitz in Dortmund.
18;19;Microsoft;United States;85.3;224.6;507.5;Information Technology;Software & Programming;https://www.microsoft.com/de-deAt Microsoft our mission and values are to help people and businesses throughout the world realize their full potential.
19;20;Royal Dutch Shell;Netherlands;234.8;411.3;228.8;Energy;Oil & Gas Operations;18.06.2020 · SHELL (ROYAL DUTCH SHELL) (A) AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Shell (Royal Dutch Shell) (A) | A0D94M | RYDAF | GB00B03MLX29
20;21;Allianz;Germany;115.7;935.9;83.7;Financials;Diversified Insurance;https://www.allianz.deDie Allianz unterstützt die Olympische und Paralympische Bewegung als weltweiter Versicherungspartner von 2021 bis 2028 und bringt mit verschiedenen Aktivitäten Fans, Athleten, Teams und Mitarbeiter in den vier Pilotmärkten Australien, China, Frankreich und Spanien zusammen. Über die Partnerschaft . Unser Angebot. Das könnte interessant für Sie sein. Risikolebens­versicherung ...
21;22;China Mobile;Hong Kong;106.8;218.9;225.3;Telecommunication Services;Telecommunications services;07.01.2021 · China Mobile bei der FAZ: Hier erhalten Sie ausführliche und aktuelle Nachrichten zum weltweit größten Mobilfunkanbieter. Jetzt lesen!
22;23;BNP Paribas;France;74.7;2190.7;80.5;Financials;Major Banks;https://www.derivate.bnpparibas.comBNP Paribas. Zertifikate und Hebelprodukte. Europa-Allee 12 60327 Frankfurt am Main Deutschland. Haben Sie Fragen, Wünsche oder Anregungen? Hier erreichen Sie uns persönlich: Betreff: * Ihre Nachricht: * E-Mail-Adresse: * Vorname: * Nachname: * Mein Portfolio Watchlist. Е-MAIL-ADRESSE: PASSWORT: Melden Sie sich hier kostenlos an und kommen Sie in den Genuss exklusiver …
23;24;Alphabet;United States;89.9;167.5;579.5;Information Technology;;33 Zeilen · Dora – Ida – Kaufmann – Theodor – Anton – Theodor. Nachfolgend finden Sie das offizielle …
24;25;China Petroleum & Chemical;China;255.7;216.7;105.1;Energy;;China National Petroleum Corporation ist ein staatlicher chinesischer Ölkonzern. Zusammen mit CNOOC und Sinopec gehört CNPC zu den drei großen Mineralölunternehmen Chinas. Das Unternehmen steht unter der Leitung von Wang …Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtChina National Petroleum Corporation ist ein staatlicher chinesischer Ölkonzern. Zusammen mit CNOOC und Sinopec gehört CNPC zu den drei großen Mineralölunternehmen Chinas. Das Unternehmen steht unter der Leitung von Wang Yilin. Im Jahr 2017 beschäftigte der chinesische Konzern insgesamt über 1,3 Mio. Mitarbeiter.
25;26;Total;France;128.1;231;128.1;Energy;Oil & Gas Operations;https://www.tankstelle.total.de22.10.2020 · Das TOTAL Online-Magazin. Im TOTAL Magazin informieren wir dich über aktuelle Aktionen an unserem mehr als 1000 TOTAL Stationen und bieten dir Services und Tipps rund um die Themen Mobilität, Kraftstoffe und Autopflege. Neueste Artikel 10.05.2021. TOTAL Club Punkte einlösen – für Kaffeeprämien und mehr . 08.02.2021. Frühstücken wie in Paris. 22.01.2021. Erholsamer Urlaub …
26;27;AXA Group;France;132.2;925.9;60.8;Financials;Diversified Insurance;https://www.axa.deUnseren Schaden- und Kundenservice erreichen Sie telefonisch oder per E-Mail. Unsere Vertriebspartner sind auch weiterhin für Sie da. Hier finden Sie die Kontaktdaten von Ihrem Ansprechpartner vor Ort. My AXA – Ihr persönliches Kundenportal: Managen Sie alle Versicherungen, Bausparverträge und Fondsdepots einfach online. In My AXA können Sie bequem Ihre persönlichen Daten ändern ...
27;28;Daimler;Germany;169.5;256.3;76.1;Consumer Discretionary;Auto & Truck Manufacturers;https://www.daimler.com/de04.05.2021 · 100 Dinge, die Sie über Daimler wissen sollten, Folge 22. Geschäftsbericht 2020. Als PDF und als Online-Version. Nachhaltigkeits-Bericht 2020. Zahlen, Fakten und weitere Informationen zu Nachhaltigkeit bei Daimler und Mercedes-Benz. Neue Struktur. Daimler plant Aufteilung des Geschäfts in zwei unabhängige Unternehmen.
28;29;Volkswagen Group;Germany;240.3;458.7;72.9;Consumer Discretionary;Auto & Truck Manufacturers;https://www.volkswagen.deWillkommen bei Volkswagen. Erfahren Sie alles über die Marke, Modelle, Angebote, allgemeine Infos, bis zum Trendthema Elektromobilität.
29;30;Mitsubishi UFJ Financial;Japan;49.2;2589.8;83.9;Financials;Major Banks;8 Zeilen · 05.06.2020 · Mitsubishi UFJ Financial Group Inc. (MTFG) 4,23 25,00 JPY 2021 …
30;31;Comcast;United States;80.4;180.5;193.5;Consumer Discretionary;Broadcasting & Cable;https://www.xfinity.comComcast's monthly service charge for X1 Saver Pro+ Double Play is $100.00 (subject to change). Service limited to a single outlet. May not be combined with other offers. TV: Limited Basic service subscription required to receive other levels of service. On Demand selections subject to charge indicated at time of purchase. Not all programming available in all areas. Internet: Actual speeds vary ...
31;32;Johnson & Johnson;United States;71.9;141.2;338.6;Health Care;Medical Equipment & Supplies;Johnson & Johnson ist ein weltweit tätiger US-amerikanischer Pharmazie- und Konsumgüterhersteller mit Hauptsitz in New Brunswick im US-Bundesstaat New Jersey. Das Unternehmen ist im Dow Jones Industrial Avera…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtJohnson & Johnson ist ein weltweit tätiger US-amerikanischer Pharmazie- und Konsumgüterhersteller mit Hauptsitz in New Brunswick im US-Bundesstaat New Jersey. Das Unternehmen ist im Dow Jones Industrial Average gelistet. Johnson & Johnson ist mit 71,9 Milliarden US-Dollar Umsatz, bei einem Gewinn von 16,4 Milliarden US-Dollar, 2016 eines der größten Gesundheitsunternehmen der Welt. Die Pharmasparte firmiert in erster Linie unter Janssen Pharmaceutica und machte 2015 31,4 Milliarden US-Dollar Umsatz. Es gibt auch OTC- resp. Medizinprodukte-Sparten.
32;33;Banco Santander;Spain;48.3;1412.4;89.4;Financials;Major Banks;Santander BestCredit Der Ratenkredit für mehr Bewegungsfreiheit. Zum Angebot. Santander Autobörse Dein Portal für Neu- und Gebrauchtwagen. Zum Portal . Wichtige Information zur Kreditkartenzahlung im Internet. Online mit Kreditkarte zahlen. Das ändert sich für Sie ab Januar 2021. Mehr Informationen. Santander Vermögensberatung Vermögen individuell planen. Mehr Informationen. Die Bank ...
33;34;Bank of Communications;China;53;1209.2;62.2;Financials;Major Banks;Die Bank of Communications ist ein Finanzkonzern mit Hauptsitz in Shanghai, Volksrepublik China, und betreibt alle Arten von Bankgeschäften. Die Hauptgesellschaft Bank of Communications Co., Ltd. ist eine der fünf führenden Banken in China und weltweit tätig. Als erste Niederlassung in Kontinentaleuropa hat die Bank of Communications in 2007 den Geschäftsbetrieb der Niederlassung ...
34;35;Nestle;Switzerland;90.8;129.8;229.5;Consumer Staples;Food Processing;https://www.nestle.deGutes Essen für mehr Lebensqualität – dafür stehen wir seit mehr als 150 Jahren. Als Global Player. Als Nachbar vor Ort. In 186 Ländern weltweit.
35;36;UnitedHealth Group;United States;184.9;125;160.2;Health Care;Managed Health Care;UnitedHealth Group (869561 | US91324P1021) mit aktuellem Aktienkurs, Charts, News und Analysen.
36;37;Nippon Telegraph & Tel;Japan;105;180.3;92.2;Telecommunication Services;Telecommunications services;https://group.ntt03.06.2021 · The corporate profile of NTT (Nippon Telegraph and Telephone Corporation), the holding company of NTT Group.
37;38;Itaú Unibanco Holding;Brazil;61.3;419.9;79.2;Financials;;184 Zeilen · 01.09.2020 · Auf dieser Seite findest du alle Informationen zur Dividende von der Itau …
38;39;Softbank;Japan;82.1;213.2;78.6;Telecommunication Services;Telecommunications services;19.05.2021 · Softbank bei der FAZ: Hier erhalten Sie ausführliche und aktuelle Nachrichten, Videos und Bilder zur SoftBank Group. Jetzt lesen und anschauen!
39;40;Gazprom;Russia;91.4;265.4;51.8;Energy;Oil & Gas Operations;GAZPROM Germania GmbH. Markgrafenstraße 23 . 10117 Berlin. Telefon +49 (0)30 20195-0. Telefax +49 (0)30 20195-313. E-Mail: info@gazprom-germania.de –
40;41;General Motors;United States;166.4;221.7;50.8;Consumer Discretionary;Auto & Truck Manufacturers;Die General Motors Company ist ein global operierender US-amerikanischer Automobilkonzern, dem weltweit mehrere Marken gehören. Die 2009 mit US-amerikanischer/kanadischer staatlicher Mehrheitsbeteiligung als Vehicle Acquisition Hol…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie General Motors Company ist ein global operierender US-amerikanischer Automobilkonzern, dem weltweit mehrere Marken gehören. Die 2009 mit US-amerikanischer/kanadischer staatlicher Mehrheitsbeteiligung als Vehicle Acquisition Holdings LLC gegründete Gesellschaft übernahm als NGMCO, INC. mit Übertragungs- und Kaufvertrag vom 26. Juni 2009 abschließend am 10. Juli 2009 die Vermögenswerte der insolventen General Motors Corporation. Als neue General Motors Company LLC setzt sie die Geschäfte der Old GM fort. Die ehemalige General Motors Corporation firmiert seit 15. Juli 2009 als Motors Liquidation Company.
41;42;China Merchants Bank;China;44.5;855.1;66.4;Financials;Major Banks;https://www.boerse.de/aktien/China-Merchants-Bank-Aktie/CNE1000002M105.07.2016 · Die China Merchants Bank Co. Ltd. wurde im April 1987 gegründet. Das Unternehmen verfügt über zahlreiche Niederlassungen und in China. Weltweit kooperiert die China Merchants Bank …
42;43;IBM;United States;79.9;117.5;162.4;Information Technology;Computer Services;https://www.ibm.com/de-IBM Digital Learning-Abonnement. Greifen Sie zwölf Monate lang auf digitale Lerninhalte von IBM zu einem günstigen Preis zu. Lernen und sparen Sie jetzt! Erhalten Sie 10% Rabatt auf alle Abonnements.
43;44;Royal Bank of Canada;Canada;35.3;891.1;107.2;Financials;Major Banks;https://www.rbcroyalbank.com/personal.htmlWhatever you need, RBC Royal Bank has a wide range of personal banking products, services and tools to help you manage your finances, save for retirement, buy a home and much more.
44;45;Japan Post Holdings;Japan;123.7;2522.1;55.1;Consumer Discretionary;;Die Nippon Yūsei K.K. ist eine japanische Holdinggesellschaft für die vier Unternehmen, die 2007 aus der Japan Post, dem Nachfolger der japanischen Staatspost, entstanden sind.
45;46;Procter & Gamble;United States;65.2;117;228.1;Consumer Staples;Household/Personal Care;P&G und BIPA starten bereits zum vierten Mal die erfolgreiche Spendenaktion zugunsten Österreichs Mütter und Kinder in Not Weiterlesen. 4/14/2021 Aktion „Schulhofträume“: Deutsches Kinderhilfswerk, ROSSMANN und Procter & Gamble gratulieren 15 Schulen zur Förderung von Schulhofprojekt Weiterlesen. Unsere Marken.
46;47;Pfizer;United States;52.8;171.6;203.1;Health Care;Pharmaceuticals;https://www.pfizer.deWir sind Pfizer Als forschendes Pharmaunternehmen treiben wir den medizinischen Fortschritt voran. Wir erforschen und entwickeln neue Therapien und Impfstoffe, um Menschen vor Erkrankungen zu schützen, sie zu heilen oder sie im Leben mit einer schweren Erkrankung zu unterstützen.
47;48;HSBC Holdings;United Kingdom;62.1;2375;162.6;Financials;Major Banks;Die Bank HSBC ist eine international agierende britische Großbank mit Sitz in London. Mit einem Umsatz von 56,1 Milliarden US-Dollar, bei einem Gewinn von 6,0 Mrd. USD, steht die HSBC laut den Forbes Global 2000 auf Platz 9 der weltgrößten …Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie Bank HSBC ist eine international agierende britische Großbank mit Sitz in London. Mit einem Umsatz von 56,1 Milliarden US-Dollar, bei einem Gewinn von 6,0 Mrd. USD, steht die HSBC laut den Forbes Global 2000 auf Platz 9 der weltgrößten Banken. Gleichzeitig ist HSBC die größte europäische Bank. Das Unternehmen erzielte Anfang 2018 eine Marktkapitalisierung von ca. 200 Mrd. USD.
48;49;Goldman Sachs Group;United States;36.9;860.2;90.6;Financials;Investment Services;Die Goldman Sachs Group, Inc. ist ein weltweit tätiges Investmentbanking- und Wertpapierhandelsunternehmen mit Sitz in New York City. Zu Goldman Sachs’ Kunden zählen große Unternehmen und Staaten sowie High Net Wort…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie Goldman Sachs Group, Inc. ist ein weltweit tätiges Investmentbanking- und Wertpapierhandelsunternehmen mit Sitz in New York City. Zu Goldman Sachs’ Kunden zählen große Unternehmen und Staaten sowie High Net Worth Individuals, die Dienstleistungen aus dem Bereich des Investmentbanking, Finanzmanagement, Vermögensverwaltung, Prime Brokerage und Underwriting sowie Beratungsdienstleistungen etwa bei Mergers & Acquisitions in Anspruch nehmen. Außerdem ist die Firma über die Direktbank Marcus im Privatkundengeschäft tätig und gibt gemeinsam mit Apple die Apple Card heraus.
49;50;Siemens;Germany;88.4;133.1;109.8;Industrials;Conglomerates;https://www.siemens-home.bsh-group.com/deSiemens Geschirrspüler überzeugen durch modernes Design und innovative Ideen, die Ihnen das Leben leichter machen. Lassen Sie sich faszinieren von höchster Flexibilität. Denn dank praktischer Funktionen wie höhenverstellbarer Seitenteile oder umlegbarer Klappstacheln findet alles seinen Platz – selbst große Suppenkellen und kleinste Teelöffel. Erfahren Sie mehr; Waschen und Trocknen ...
50;51;BMW Group;Germany;104.2;210.3;57.7;Consumer Discretionary;Auto & Truck Manufacturers;https://www.bmwgroup.com/de.htmlWillkommen bei der BMW Group. Unsere Ausrichtung am Premiumgedanken und am Nachhaltigkeits-Prinzip begeistert Menschen weltweit.
51;52;China Life Insurance;China;82.8;388.7;98.1;Financials;Life & Health Insurance;9 Zeilen · Hier erhalten Sie eine Übersicht über die Dividendenzahlung und Dividendenrendite von …
52;53;ING Group;Netherlands;53.6;891.3;57.9;Financials;Life & Health Insurance;Beliebteste Bank 2021. Deutschlands größte Direktbank ist zum 15. Mal in Folge Deutschlands „Beliebteste Bank“ (Wirtschaftsmagazin €uro, Ausgabe 05/2021) geworden. Dies haben 199.511 Bankkunden erneut entschieden: Sie schätzen besonders den Umgang der ING-Mitarbeiter mit Kundenanfragen, ihre Freundlichkeit und das Gefühl, dass ihnen ...
53;54;Intel;United States;59.4;113.3;170.4;Information Technology;Semiconductors;https://www.intel.deIntel beim Mobile World Congress 2021. Seien Sie dabei, wenn wir den Mobile World Congress 2021 mit unserem virtuellen Event „Edge of Wonderful“ eröffnen. Führungskräfte von Intel werden unsere Innovation und deren Ausführung präsentieren, dafür entwickelt, unsere Kunden in der sich ändernden Welt der 5G-Kommunikation zu unterstützen.
54;55;Postal Savings Bank Of China;China;48;1189.4;55.2;Financials;;Die Postal Savings Bank of China, auch bekannt als PSBC, ist eine kommerzielle Einzelhandelsbank, die grundlegende Finanzdienstleistungen insbesondere für kleine und mittlere Unternehmen, für ländliche Kunden und für einkommensschwache Kunden anbietet. PSBC … Die Postal Savings Bank of China, auch bekannt als PSBC, ist eine kommerzielle Einzelhandelsbank, die grundlegende Finanzdienstleistungen insbesondere für kleine und mittlere Unternehmen, für ländliche Kunden und für einkommensschwache Kunden anbietet. PSBC hat 40.000 Niederlassungen in allen Regionen Chinas. Nach der Agricultural Bank of China hat es damit die zweithöchste Anzahl an Filialen unter allen Banken in China.
55;56;Sberbank;Russia;43;415.6;63.9;Financials;Regional Banks;https://www.sberbankdirect.deSberbank Direct Tagesgeld. Das klassische Sparprodukt für Anleger, die maximale Flexibilität wollen. keine Mindestanlage. Ein-/Auszahlung jederzeit möglich. flexible Zinsen von aktuell 0,20% p.a. Vierteljährliche Zinsgutschrift. Jetzt Konto eröffnen. Produktdetails. Sberbank Direct Festgeld.
56;57;TD Bank Group;Canada;31.9;910.4;92;Financials;Major Banks;Toronto-Dominion Bank ist ein kanadisches Unternehmen mit Firmensitz in Toronto. Das Unternehmen ist im Aktienindex S&P/TSX 60 gelistet. Das Unternehmen bietet Finanzdienstleistungen für seine Kunden an. Toronto-Dominion Bank ist da…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtToronto-Dominion Bank ist ein kanadisches Unternehmen mit Firmensitz in Toronto. Das Unternehmen ist im Aktienindex S&P/TSX 60 gelistet. Das Unternehmen bietet Finanzdienstleistungen für seine Kunden an. Toronto-Dominion Bank ist das zweitgrößte Kreditinstitut in Kanada. 1855 wurde die Bank of Toronto gegründet und 1871 entstand die Dominion Bank. 1955 fusionierten diese beiden Banken zur Toronto-Dominion Bank. Sie hat ihren Sitz im gleichnamigen Toronto-Dominion Centre im Financial District von Toronto.
57;58;Cisco Systems;United States;48.6;126.2;165.1;Information Technology;Communications Equipment;Cisco ist weltweiter Marktführer in den Bereichen IT und Netzwerk. Wir unterstützen Unternehmen jeder Größe dabei, die Art zu transformieren, wie Menschen in Kontakt treten, kommunizieren und zusammenarbeiten.
58;59;Commonwealth Bank;Australia;30. Sep;703.6;109.9;Financials;Major Banks;https://www.commbank.com.auVisit Important Information to access Product Disclosure Statements or Terms and Conditions which are currently available electronically for products of the Commonwealth Bank Group, along with the relevant Financial Services Guide. Loan applications are subject to credit approval. Interest rates are subject to change. Fees and charges may apply.
59;60;Morgan Stanley;United States;37.9;816;78.3;Financials;Investment Services;https://www.morganstanley.comMorgan Stanley helps people, institutions and governments raise, manage and distribute the capital they need to achieve their goals. Morgan Stanley at Work. We provide comprehensive workplace financial solutions for organizations and their employees, combining personalized advice with modern technology. Morgan Stanley helps people, institutions and governments raise, manage and distribute the ...
60;61;Novartis;Switzerland;48.5;130.4;193.2;Health Care;Pharmaceuticals;https://www.novartis.deNovartis is a global healthcare company based in Switzerland that provides solutions to address the evolving needs of patients worldwide.
61;62;Banco Bradesco;Brazil;70.2;362.4;53.5;Financials;Regional Banks;Banco Bradesco S.A. ist ein Finanzunternehmen aus Brasilien mit Firmensitz in Osasco. Das Unternehmen ist im Finanzindex IBOVESPA gelistet. Die Bank gehört zu den vier größten Banken des Landes, zu denen auch die Banco do Brasil, die Banco Itaú …Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtBanco Bradesco S.A. ist ein Finanzunternehmen aus Brasilien mit Firmensitz in Osasco. Das Unternehmen ist im Finanzindex IBOVESPA gelistet. Die Bank gehört zu den vier größten Banken des Landes, zu denen auch die Banco do Brasil, die Banco Itaú und die Unibanco gezählt werden.
62;63;Industrial Bank;China;44.3;872.1;45.1;Financials;Regional Banks;NaN
63;64;Ford Motor;United States;151.8;238;44.7;Consumer Discretionary;Auto & Truck Manufacturers;Die Ford Motor Company mit Sitz im US-amerikanischen Dearborn ist nach Toyota, Volkswagen, General Motors und Hyundai der fünftgrößte Autohersteller weltweit mit einem Umsatz von 159,6 Milliarden US-Dollar und einem Gewi…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie Ford Motor Company mit Sitz im US-amerikanischen Dearborn ist nach Toyota, Volkswagen, General Motors und Hyundai der fünftgrößte Autohersteller weltweit mit einem Umsatz von 159,6 Milliarden US-Dollar und einem Gewinn von 7,8 Milliarden US-Dollar. Ursprung des Konzerns ist eine von Henry Ford in Detroit 1903 gegründete Fabrik. Mit der Einführung der Fließbandproduktion im Jahr 1913 brachte Ford einen radikalen Umbruch in der neu entstehenden Autoindustrie.
64;65;Shanghai Pudong Development;China;40.1;842.8;50.5;Financials;Regional Banks;NaN
65;66;CVS Health;United States;177.5;94.5;79.8;Financials;;18 Zeilen · 05.06.2020 · Hier erhalten Sie eine Übersicht über die Dividendenzahlung und …
66;67;Walt Disney;United States;54.9;91.6;178;Consumer Discretionary;Broadcasting & Cable;Disney Deutschland | Offizielle Website. Jetzt im Kino, wo verfügbar, oder auf Disney+ mit VIP-Zugang**. MEHR ERFAHREN AUF DISNEY+ ANSEHEN. ** Disney+ Abo …
